AuthorID,Author,Date,Content,Attachments,Reactions
"434070408501919745","Electral 🌧#5755","08-September-2018 11:34 AM","*le soir la nuit*
ÉvoLink 2018.","",""
"305758596971626498","Dekuali#0899","08-September-2018 11:35 AM","Le soleil est froid *une amie 2018*","",""
"428071111914422272","☁𝐿𝑖𝑙 𝑀𝑖𝑙𝑘𝑦☁#0477","08-September-2018 11:38 AM","Paku Paku Nyan Nyan Paku Paku Nyan Nyan Oh Nyo !","",""
"267403451896561664","Matarc#1584","08-September-2018 11:39 AM","Le jour des ténèbres fait trembler la nuit ensoleillé
Jules César 1992","",""
"428071111914422272","☁𝐿𝑖𝑙 𝑀𝑖𝑙𝑘𝑦☁#0477","08-September-2018 11:39 AM","IT'S THE SWEEPING TIME, GOTTA SWEEP SWEEP SWEEP","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 11:40 AM","*tout les deux ensemble*
encore ÉvoLink, 2018.","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 11:42 AM","*si tu meurs pas tu meurs*
Electral 2018.","",""
"267403451896561664","Matarc#1584","08-September-2018 11:43 AM","Jésus est mort avant Jésus Christ.
Pablo Picasso 2016","",""
"435125705907503105","ÉvoLink ⛅#5455","08-September-2018 11:46 AM","Comment quelqu'un peut être né en -456 et mourrir en -424 ?

Une conne de ma classe, 2018","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 03:59 PM","*daful*
Pomme 2018.","",""
"424677919512723466","🐉YACHACMA🐉#9647","08-September-2018 04:02 PM","*je me ferais fait défoncé*
.Electral 2018","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 04:18 PM","*je monte la fille qui dort?*
Aquali38 2018.","",""
"456226577798135808","Deleted User#0000","08-September-2018 04:43 PM","*Je vais frapper le bruit dehors* Aquali38 2018","",""
"424677919512723466","🐉YACHACMA🐉#9647","08-September-2018 08:12 PM","*j'ai tellement de mal à bouffer mon tel*
Evolink 2018
(Je rapelle que c'était en vocal alors imaginez la situation...)","",""
"370518244127408130","StarLight229#1258","08-September-2018 08:54 PM","*mais OSCOUUR quand je lui met la casquette elle est trop petite x)* Electral 2018","",""
"456226577798135808","Deleted User#0000","08-September-2018 09:46 PM","*SucePARTY* Snowing 2018","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 09:52 PM","*carabiner*
la soeur d'évo.","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 09:52 PM","2018*","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 09:53 PM","*arrêtez de se rigoler*
toujours la même personne, 2018.","",""
"456226577798135808","Deleted User#0000","08-September-2018 09:54 PM","*Pourquoi tu vous toi exister* Raiko 2018","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 09:57 PM","*j'vais te vent-violenter ta face*
encore la soeur d'évo, 2018.","",""
"305758596971626498","Dekuali#0899","08-September-2018 10:53 PM","Ta soeur c’est un esquimau *Pomme 2018*","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 10:55 PM","*-oissons moustique, plus les mâles ont -os sexe plus leur cerveau est petit.*
une question dans les douzes coups de la rentrée 2018.","",""
"456226577798135808","Deleted User#0000","08-September-2018 10:56 PM","*Montre ton vélo sur un vélo* Aqua 2018","",""
"305758596971626498","Dekuali#0899","08-September-2018 11:00 PM","Voilà quand je tape ma tête contre mon ordi *Snowing 2018*","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 11:07 PM","*waya*
miss oratoria 2018.","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 11:13 PM","*le seul truc qui vous différencie c'est que toi t'as un anneau et lui il a un truc vert sur l'oeil*
aquali38 2018.","",""
"434070408501919745","Electral 🌧#5755","08-September-2018 11:14 PM","*il nous casse les """"zrabadou""""*
jeyka 2018.","",""
"435125705907503105","ÉvoLink ⛅#5455","08-September-2018 11:15 PM","Je vais vous vent violenter avec ma carabine

La sœur de ÉvoLink allias c Creep 2018","",""
"435125705907503105","ÉvoLink ⛅#5455","08-September-2018 11:15 PM","Aqua je vais te vent violoter 
Snowing 2018","",""
"424677919512723466","🐉YACHACMA🐉#9647","08-September-2018 11:19 PM","Évo Roi des Chèvre à épinglé un message dans ce salon 
*Evolink 2018*","",""
"435125705907503105","ÉvoLink ⛅#5455","08-September-2018 11:19 PM","Rrops de message épinglé xD

Évolink 2018","",""
"424677919512723466","🐉YACHACMA🐉#9647","08-September-2018 11:21 PM","Miss t'es qu'une miss!
*Snowing 2.0* 2018","",""
"424677919512723466","🐉YACHACMA🐉#9647","08-September-2018 11:22 PM","Bakugo il fait des explosions avec ses mains c'est comme des prouts
*plus jamais tu dis ça aquali* 2018","",""
"456226577798135808","Deleted User#0000","08-September-2018 11:23 PM","*C'est pas des prouts des mains* Evo 2018","",""
"435125705907503105","ÉvoLink ⛅#5455","08-September-2018 11:24 PM","Quand Izuku il pose sa jambe ça fait des prouts
Évolink 2018","",""
"456226577798135808","Deleted User#0000","08-September-2018 11:25 PM","*Quand il fait noir il fait des nuages la nuit* Snowing 2018","",""
"435125705907503105","ÉvoLink ⛅#5455","08-September-2018 11:26 PM","Les épingles c'est cool
Pomme 2018","",""
"305758596971626498","Dekuali#0899","08-September-2018 11:27 PM","Petit cul va *Évolink 2018*","",""
"435125705907503105","ÉvoLink ⛅#5455","08-September-2018 11:27 PM","Les p'tits culs c'est cool aussi
Pomme 2018","",""
